game_play_number,id,sequence_number,type_id,type_text,text,away_score,home_score,period_number,period_display_value,clock_display_value,scoring_play,score_value,team_id,athlete_id_1,athlete_id_2,athlete_id_3,wallclock,shooting_play,coordinate_x_raw,coordinate_y_raw,points_attempted,short_description,season,season_type,home_team_id,home_team_name,home_team_mascot,home_team_abbrev,home_team_name_alt,away_team_id,away_team_name,away_team_mascot,away_team_abbrev,away_team_name_alt,game_spread,home_favorite,game_spread_available,home_team_spread,qtr,time,clock_minutes,clock_seconds,home_timeout_called,away_timeout_called,half,game_half,lead_qtr,lead_half,start_quarter_seconds_remaining,start_half_seconds_remaining,start_game_seconds_remaining,end_quarter_seconds_remaining,end_half_seconds_remaining,end_game_seconds_remaining,period,lag_qtr,lag_half,coordinate_x,coordinate_y,game_date,game_date_time,type_abbreviation
31,40181062843,43,146,Running Pullup Jump Shot,Royce O'Neale misses running pullup jump shot,1,9,1,1st Quarter,8:00,FALSE,0,21,2583632,,,2026-02-11T02:18:40Z,TRUE,4,19,3,Missed 3PT,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,8:00,8,0,FALSE,FALSE,1,1,1,1,480,1200,2640,476,1196,2636,1,1,1,22.75,21,2026-02-10,2026-02-11T02:00:00Z,
32,40181062844,44,156,Offensive Rebound,Collin Gillespie offensive rebound,1,9,1,1st Quarter,7:56,FALSE,0,21,4278585,,,2026-02-11T02:18:44Z,FALSE,4,19,0,Rebound,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,7:56,7,56,FALSE,FALSE,1,1,1,1,476,1196,2636,475,1195,2635,1,1,1,22.75,21,2026-02-10,2026-02-11T02:00:00Z,
33,40181062845,45,92,Jump Shot,Dillon Brooks makes 14-foot jumper (Collin Gillespie assists),1,11,1,1st Quarter,7:55,TRUE,2,21,3155526,4278585,,2026-02-11T02:18:45Z,TRUE,18,13,2,+2 Points,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,7:55,7,55,FALSE,FALSE,1,1,1,1,475,1195,2635,463,1183,2623,1,1,1,28.75,7,2026-02-10,2026-02-11T02:00:00Z,
34,40181062847,47,144,Driving Floating Jump Shot,Cooper Flagg misses driving floating jump shot,1,11,1,1st Quarter,7:43,FALSE,0,6,5041939,,,2026-02-11T02:18:57Z,TRUE,32,12,2,Missed FG,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,7:43,7,43,FALSE,FALSE,1,1,1,1,463,1183,2623,460,1180,2620,1,1,1,-29.75,7,2026-02-10,2026-02-11T02:00:00Z,
35,40181062848,48,155,Defensive Rebound,Devin Booker defensive rebound,1,11,1,1st Quarter,7:40,FALSE,0,21,3136193,,,2026-02-11T02:19:00Z,FALSE,32,12,0,Rebound,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,7:40,7,40,FALSE,FALSE,1,1,1,1,460,1180,2620,457,1177,2617,1,1,1,29.75,-7,2026-02-10,2026-02-11T02:00:00Z,
36,40181062849,49,113,Running Jump Shot,Dillon Brooks misses 26-foot running jump shot,1,11,1,1st Quarter,7:37,FALSE,0,21,3155526,,,2026-02-11T02:19:03Z,TRUE,5,17,3,Missed 3PT,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,7:37,7,37,FALSE,FALSE,1,1,1,1,457,1177,2617,452,1172,2612,1,1,1,24.75,20,2026-02-10,2026-02-11T02:00:00Z,
37,40181062850,50,155,Defensive Rebound,P.J. Washington defensive rebound,1,11,1,1st Quarter,7:32,FALSE,0,6,4278078,,,2026-02-11T02:19:09Z,FALSE,5,17,0,Rebound,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,7:32,7,32,FALSE,FALSE,1,1,1,1,452,1172,2612,436,1156,2596,1,1,1,-24.75,-20,2026-02-10,2026-02-11T02:00:00Z,
38,40181062851,51,44,Shooting Foul,Collin Gillespie shooting foul,1,11,1,1st Quarter,7:16,FALSE,0,21,4278585,,,2026-02-11T02:19:26Z,FALSE,31,9,0,Foul,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,7:16,7,16,FALSE,FALSE,1,1,1,1,436,1156,2596,436,1156,2596,1,1,1,32.75,-6,2026-02-10,2026-02-11T02:00:00Z,
39,40181062853,53,98,Free Throw - 1 of 2,Cooper Flagg makes free throw 1 of 2,2,11,1,1st Quarter,7:16,TRUE,1,6,5041939,,,2026-02-11T02:19:57Z,TRUE,25,13.75,1,+1 Point,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,7:16,7,16,FALSE,FALSE,1,1,1,1,436,1156,2596,436,1156,2596,1,1,1,-28,0,2026-02-10,2026-02-11T02:00:00Z,
40,40181062854,54,584,Substitution,Jalen Green enters the game for Collin Gillespie,2,11,1,1st Quarter,7:16,FALSE,0,21,4437244,4278585,,2026-02-11T02:19:58Z,FALSE,-214748340,-214748365,0,Substitution,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,7:16,7,16,FALSE,FALSE,1,1,1,1,436,1156,2596,436,1156,2596,1,1,1,214748406.75,214748365,2026-02-10,2026-02-11T02:00:00Z,
41,40181062855,55,584,Substitution,Marvin Bagley III enters the game for P.J. Washington,2,11,1,1st Quarter,7:16,FALSE,0,6,4277848,4278078,,2026-02-11T02:19:58Z,FALSE,-214748340,-214748365,0,Substitution,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,7:16,7,16,FALSE,FALSE,1,1,1,1,436,1156,2596,436,1156,2596,1,1,1,-214748406.75,-214748365,2026-02-10,2026-02-11T02:00:00Z,
42,40181062856,56,584,Substitution,Naji Marshall enters the game for Daniel Gafford,2,11,1,1st Quarter,7:16,FALSE,0,6,4278594,4278049,,2026-02-11T02:19:58Z,FALSE,-214748340,-214748365,0,Substitution,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,7:16,7,16,FALSE,FALSE,1,1,1,1,436,1156,2596,436,1156,2596,1,1,1,-214748406.75,-214748365,2026-02-10,2026-02-11T02:00:00Z,
43,40181062860,60,99,Free Throw - 2 of 2,Cooper Flagg misses free throw 2 of 2,2,11,1,1st Quarter,7:16,FALSE,0,6,5041939,,,2026-02-11T02:19:57Z,TRUE,25,13.75,1,Missed FT,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,7:16,7,16,FALSE,FALSE,1,1,1,1,436,1156,2596,428,1148,2588,1,1,1,-28,0,2026-02-10,2026-02-11T02:00:00Z,
44,40181062861,61,155,Defensive Rebound,Dillon Brooks defensive rebound,2,11,1,1st Quarter,7:08,FALSE,0,21,3155526,,,2026-02-11T02:20:05Z,FALSE,-214748340,-214748365,0,Rebound,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,7:08,7,8,FALSE,FALSE,1,1,1,1,428,1148,2588,423,1143,2583,1,1,1,214748406.75,214748365,2026-02-10,2026-02-11T02:00:00Z,
45,40181062862,62,121,Fade Away Jump Shot,Devin Booker misses 17-foot fade away jump shot,2,11,1,1st Quarter,7:03,FALSE,0,21,3136193,,,2026-02-11T02:20:28Z,TRUE,35,15,2,Missed FG,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,7:03,7,3,FALSE,FALSE,1,1,1,1,423,1143,2583,419,1139,2579,1,1,1,26.75,-10,2026-02-10,2026-02-11T02:00:00Z,
46,40181062863,63,155,Defensive Rebound,Marvin Bagley III defensive rebound,2,11,1,1st Quarter,6:59,FALSE,0,6,4277848,,,2026-02-11T02:20:32Z,FALSE,35,15,0,Rebound,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,6:59,6,59,FALSE,FALSE,1,1,1,1,419,1139,2579,415,1135,2575,1,1,1,-26.75,10,2026-02-10,2026-02-11T02:00:00Z,
47,40181062864,64,45,Personal Foul,Devin Booker personal foul,2,11,1,1st Quarter,6:55,FALSE,0,21,3136193,,,2026-02-11T02:20:39Z,FALSE,9,2,0,Foul,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,6:55,6,55,FALSE,FALSE,1,1,1,1,415,1135,2575,409,1129,2569,1,1,1,39.75,16,2026-02-10,2026-02-11T02:00:00Z,
48,40181062866,66,131,Pullup Jump Shot,Max Christie misses 26-foot three point pullup jump shot,2,11,1,1st Quarter,6:49,FALSE,0,6,4432582,,,2026-02-11T02:20:59Z,TRUE,4,17,3,Missed 3PT,2026,2,21,Phoenix,Suns,PHX,Phoenix,6,Dallas,Mavericks,DAL,Dallas,2.5,TRUE,FALSE,2.5,1,6:49,6,49,FALSE,FALSE,1,1,1,1,409,1129,2569,405,1125,2565,1,1,1,-24.75,-21,2026-02-10,2026-02-11T02:00:00Z,
